,acc. date,type,operator,fat.,location,dmg
0,5 Jan 1972,Douglas C-47B-20-DK Dakota 4MFP,McKenzie Air,0,"Norman Wells Airport, NT (YVQ)",sub
1,6 Jan 1972,Hawker Siddeley HS-748-230 Srs. 2A,SAESA - Servicios Aéreos Especiales SA,23,40 km NW of Chetumal,w/o
2,7 Jan 1972,Boeing 727-200,Pacific Southwest Airlines - PSA,0,Havana-José Martí International Airport (HAV),non
3,7 Jan 1972,Sud Aviation SE-210 Caravelle VI-R,Iberia,104,ca 15 km W of Ibiza Airport (IBZ),dst
4,7 Jan 1972,Convair CV-340-68B,Saudi Arabian Airlines,0,Jeddah International Airport,w/o
5,8 Jan 1972,de Havilland Canada U-1A Otter (DHC-3),Khmer Air Force,n/a,within Cambodia,w/o
6,9 Jan 1972,Lockheed L-188A Electra,Air Manila International,0,Manila International Airport (MNL),w/o
7,12 Jan 1972,Boeing 727,Braniff International Airways,0,"Dallas-Love Field, TX (DAL)",unk
8,15 Jan 1972,Lockheed EC-130G Hercules,United States Navy,0,"near Patuxent River-NAS, MD (NHK)",w/o
9,15 Jan 1972,Lockheed KC-130F Hercules,United States Marine Corps,n/a,"Lake City, FL",w/o
10,18 Jan 1972,Learjet 25,Tandy Corp.,9,"3,1 km NW of Victoria County-Foster Airport, TX (VCT)",w/o
11,20 Jan 1972,McDonnell Douglas DC-9-31,Hughes Airwest,0,"Las Vegas-McCarran International Airport, NV (LAS)",non
12,21 Jan 1972,Vickers 837 Viscount,Lineas Aéreas La Urraca,20,ca 3 km NW of Bogotá-Eldorado Airport (BOG),dst
13,21 Jan 1972,Douglas C-47 (DC-3),SATENA,39,near Betania,dst
14,21 Jan 1972,McDonnell Douglas DC-9-32,Türk Hava Yollari - THY,1,near Adana Airport (ADA),dst
15,25 Jan 1972,Yakovlev Yak-40,Bakhtar Afghan Airlines,0,near Khost Airport (KHT),sub
16,26 Jan 1972,de Havilland Canada U-1A Otter (DHC-3),Khmer Air Force,n/a,near Phnom Penh-Pochentong Airport (PNH),w/o
17,26 Jan 1972,IRMA/Britten-Norman BN-2A Islander,Air Malawi,0,Usisya,sub
18,26 Jan 1972,Britten-Norman BN-2 Islander,Air Botswana,0,Maun Airport (MUB),w/o
19,26 Jan 1972,Fairchild FH-227B,Mohawk Airlines,1,"Poughkeepsie-Dutchess County Airport, NY (POU)",unk
20,26 Jan 1972,McDonnell Douglas DC-9-32,Jugoslovenski Aerotransport - JAT,27,near Ceské Kamenice,dst
