Unnamed: 0,acc. date,type,operator,fat.,location,dmg
3,7 Jan 1972,Sud Aviation SE-210 Caravelle VI-R,Iberia,104,ca 15 km W of Ibiza Airport (IBZ),dst
56,14 Mar 1972,Sud Aviation SE-210 Caravelle 10B3,Sterling Airways,112,ca 20 km W of Kalba,dst
109,5 May 1972,Douglas DC-8-43,Alitalia,115,5 km SW of Palermo,dst
124,18 May 1972,Antonov An-10A,Aeroflot / Ukraine,122,24 km from Kharkov Airport (HRK),dst
148,14 Jun 1972,Douglas DC-8-53,Japan Air Lines - JAL,86,ca 20 km E of Delhi-Palam Airport (DEL),dst
150,15 Jun 1972,Convair CV-880-22M-21,Cathay Pacific Airways,81,55 km SE of Pleiku,dst
154,18 Jun 1972,Hawker Siddeley HS-121 Trident 1C,British European Airways - BEA,118,near Staines,dst
216,14 Aug 1972,Ilyushin Il-62,Interflug,156,Königs Wusterhausen,dst
238,31 Aug 1972,Ilyushin Il-18V,"Aeroflot, Kazakstan Civil Aviation Directorate",102,23 km N of Magnitogorsk Airport (MQF),dst
261,1 Oct 1972,Ilyushin Il-18V,"Aeroflot, Moscow Civil Aviation Directorate",109,4 km W off Adler/Sochi Airport (AER),dst
266,13 Oct 1972,Ilyushin Il-62,"Aeroflot, International Civil Aviation Directorate",174,11 km N of Moskva-Sheremetyevo Airport (SVO),dst
277,27 Oct 1972,Vickers 724 Viscount,Air Inter,60,4 km W of Noirétable,dst
302,28 Nov 1972,McDonnell Douglas DC-8-62,Japan Air Lines - JAL,61,Moskva-Sheremetyevo Airport (SVO),dst
308,3 Dec 1972,Convair CV-990-30A-5 Coronado,Spantax,155,Tenerife-Los Rodeos International Airport (TCI),dst
333,29 Dec 1972,Lockheed L-1011-385-1 TriStar 1,Eastern Air Lines,101,"Everglades, FL",dst
347,22 Jan 1973,Boeing 707-3D3C,Nigeria Airways,176,Kano International Airport (KAN),dst
362,19 Feb 1973,Tupolev Tu-154,"Aeroflot, International Civil Aviation Directorate",66,"0,5 km NE of Praha-Ruzyne International Airport (PRG)",dst
365,21 Feb 1973,Boeing 727-224,Libyan Arab Airlines,108,35 km SE of Isma'iliya,dst
369,24 Feb 1973,Ilyushin Il-18V,Aeroflot / Tajikistan,79,40 km from Ura-Tube,dst
380,5 Mar 1973,McDonnell Douglas DC-9-32,Iberia,68,"near La Plance, near Nantes",dst
381,5 Mar 1973,Convair CV-990-30A-5 Coronado,Spantax,68,"over La Plance, near Nantes",sub
394,19 Mar 1973,Douglas C-54D-15-DC (DC-4),Air Vietnam,58,"6,5 km S of Buon Me Thuot (Ban Me Thuot)-Phung-Duc Airport (BMV)",w/o
406,10 Apr 1973,Vickers 952 Vanguard,Invicta International Airways,108,15 km S of Basel/Mulhouse Airport (BSL),dst
434,11 May 1973,Ilyushin Il-18B,Aeroflot / Azerbaijan,63,84 km S of Semipalatinsk,dst
439,18 May 1973,Tupolev Tu-104B,"Aeroflot, East Siberia Civil Aviation Directorate",81,97 km W of Chita,dst
481,11 Jul 1973,Boeing 707-345C,Varig,123,5 km W of Paris-Orly Airport (ORY),dst
490,22 Jul 1973,Boeing 707-321B,Pan American World Airways (Pan Am),78,"3 km NE off Papeete-Faaa Airport (PPT), Tahiti",dst
497,31 Jul 1973,McDonnell Douglas DC-9-31,Delta Air Lines,88,"Boston-Logan International Airport, MA (BOS)",dst
506,13 Aug 1973,Sud Aviation SE-210 Caravelle 10R,Aviaco,85,3 km NE of La Coruña Airport (LCG),dst
512,18 Aug 1973,Antonov An-24B,Aeroflot / Azerbaijan,56,"4,3 km E of Baku-Bina International Airport (BAK)",dst
547,30 Sep 1973,Tupolev Tu-104B,Aeroflot / Uzbekistan,108,10 km SW of Sverdlovsk-Koltsovo Airport (SVX),dst
557,13 Oct 1973,Tupolev Tu-104B,Aeroflot / Georgia,122,17 km NW of Moskva-Domodedovo Airport (DME),dst
609,16 Dec 1973,Tupolev Tu-124V,Aeroflot / Lithuania,51,near Karacharovo,w/o
618,22 Dec 1973,Sud Aviation SE-210 Caravelle VI-N,Royal Air Maroc - RAM,106,ca. 40 km E of Tangier-Boukhalef Airport (TNG),dst
