Unnamed: 0,acc. date,type,operator,fat.,location,dmg,country,state,city,LAT,LNG
3,7 Jan 1972,Sud Aviation SE-210 Caravelle VI-R,Iberia,104,ca 15 km W of Ibiza Airport (IBZ),dst,ES,IB,Sant Josep de sa Talaia,38.87695,1.36813
56,14 Mar 1972,Sud Aviation SE-210 Caravelle 10B3,Sterling Airways,112,ca 20 km W of Kalba,dst,US,,,38.89037,-77.03196
109,5 May 1972,Douglas DC-8-43,Alitalia,115,5 km SW of Palermo,dst,CO,,Palermo,2.88604,-75.43763
124,18 May 1972,Antonov An-10A,Aeroflot / Ukraine,122,24 km from Kharkov Airport (HRK),dst,UA,,Kharkiv,49.91978,36.27854
148,14 Jun 1972,Douglas DC-8-53,Japan Air Lines - JAL,86,ca 20 km E of Delhi-Palam Airport (DEL),dst,IN,DL,Delhi,28.55574,77.08556
150,15 Jun 1972,Convair CV-880-22M-21,Cathay Pacific Airways,81,55 km SE of Pleiku,dst,VN,,Pleiku,13.98076,108.00073
154,18 Jun 1972,Hawker Siddeley HS-121 Trident 1C,British European Airways - BEA,118,near Staines,dst,GB,ENG,Staines,51.43516,-0.50662
216,14 Aug 1972,Ilyushin Il-62,Interflug,156,KÃ¶nigs Wusterhausen,dst,DE,BB,Königs Wusterhausen,52.29655,13.62846
238,31 Aug 1972,Ilyushin Il-18V,"Aeroflot, Kazakstan Civil Aviation Directorate",102,23 km N of Magnitogorsk Airport (MQF),dst,US,,,38.89037,-77.03196
261,1 Oct 1972,Ilyushin Il-18V,"Aeroflot, Moscow Civil Aviation Directorate",109,4 km W off Adler/Sochi Airport (AER),dst,RU,,Sochi,43.44754,39.93281
266,13 Oct 1972,Ilyushin Il-62,"Aeroflot, International Civil Aviation Directorate",174,11 km N of Moskva-Sheremetyevo Airport (SVO),dst,RU,,Moscow,55.94772,37.41329
277,27 Oct 1972,Vickers 724 Viscount,Air Inter,60,4 km W of NoirÃ©table,dst,US,,,38.89037,-77.03196
