,accident_id,acc_date,type,operator,registration,total_fatalities,total_occupants,aircraft_damage,phase,nature,depart_airport,destination_airport,location
0,ACC100,1972-01-07,Sud Aviation SE-210,Iberia,EC-ATV,104,104,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Valencia Airport (VLC/LEVC), Spain","Ibiza Airport (IBZ/LEIB), Spain",ca 15 km W of Ibiza Airport (IBZ) (Spain)
2,ACC102,1972-02-01,VFW-Fokker 614,VFW-Fokker,D-BABA,1,3,Damaged beyond repair,Maneuvering (MNV),Test,"Bremen Airport (BRE/EDDW), Germany","Bremen Airport (BRE/EDDW), Germany",near Bremen Airport (BRE) (Germany)
9,ACC109,1972-05-04,Yakovlev YAK-40,Aeroflot,CCCP-87778,18,18,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Irkutsk Airport (IKT/UIII), Russia","Bratsk Airport (BTK/UIBB), Russia","1,2 km (0.8 mls) from Bratsk Airport (BTK) (Russia)"
10,ACC110,1972-05-08,Douglas DC-3,Aerotécnica,YV-C-GAI,6,6,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Ciudad Bolívar Airport (CBL/SVCB), Venezuela","La Centella, Venezuela",ca 150 km W of Ciudad Bolívar (Venezuela)
12,ACC112,1972-05-21,Fokker F-27,DTA-Direcção de Exploração dos Transp. Aéreos,CR-LLD,22,25,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Luanda Airport (LAD/FNLU), Angola","Lobito Airport (FNLB), Angola",3 km (1.9 mls) NW off Lobito Airport (Angola)
13,ACC113,1972-05-27,de Havilland Canada DHC-6,General Air,D-IDHC,8,13,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Helgoland Airfield (HGL/EDXH), Germany","Wangerooge Airfield (AGE/EDWG), Germany",Helgoland Airport (HGL) (Germany)
16,ACC116,1972-06-29,MBB HFB-320,Inter City Flug,D-CASY,7,8,Damaged beyond repair,Takeoff (TOF),Executive,"Blackpool Airport (BLK/EGNH), United Kingdom","Rotterdam Airport (RTM/EHRD), Netherlands",Blackpool Airport (BLK) (United Kingdom)
20,ACC120,1972-07-11,Antonov AN-2,Aeroflot,CCCP-98280,2,2,Damaged beyond repair,Initial climb (ICL),Cargo,"Okha Airport (OHH/UHSH), Russia","Tsimmermanovka Airstrip, Russia",Okha (Russia)
21,ACC121,1972-07-12,Boeing B-17,Black Hills Aviation,N73648,2,2,Damaged beyond repair,Maneuvering (MNV),Fire fighting,"Alamogordo Municipal Airport, NM (ALM/KALM), United States of America","Alamogordo Municipal Airport, NM (ALM/KALM), United States of America","Socorro, NM (United States of America)"
23,ACC123,1972-07-29,Douglas DC-3,Avianca,HK-1341,17,17,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Villavicencio Airport (VVC/SKVV), Colombia","El Yopal Airport (EYP/SKYP), Colombia",near Las Palomas (Colombia)
27,ACC127,1972-08-27,Douglas DC-3,Linea Aeropostal Venezolana - LAV,YV-C-AKE,34,34,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Canaima Airport (CAJ/SVCN), Venezuela","Ciudad Bolívar Airport (CBL/SVCB), Venezuela",near Canaima Airport (CAJ) (Venezuela)
28,ACC128,1972-09-01,Shorts SC.7 Skyvan,Ansett Airlines of Papua New Guinea,VH-PNI,4,4,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Minj Airport (MZN), Papua New Guinea","Mendi Airport (MDU/AYMN), Papua New Guinea",Mount Giluwe (Papua New Guinea)
29,ACC129,1972-09-10,Douglas DC-3,Ethiopian Airlines,ET-ABQ,11,11,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Axum Airport (AXU/HAAX), Ethiopia","Gondar Airport (GDQ/HAGN), Ethiopia",near Gondar (Ethiopia)
31,ACC131,1972-11-13,Antonov AN-2,Aeroflot,CCCP-09676,2,14,Damaged beyond repair,En route (ENR),Passenger,"Nazimovo Airstrip, Russia","Yeniseysk Airport (EIE/UNII), Russia",40 km (25 mls) NW of Yeniseisk (Russia)
32,ACC132,1972-11-17,Douglas DC-3,S & H Aviation Sales,CF-FOL,3,3,Damaged beyond repair,En route (ENR),Int'l Non Scheduled Passenger,"Keflavík International Airport (KEF/BIKF), Iceland","St. John's Airport, NL (YYT/CYYT), Canada","160 km (100 mls) E off St. Johns, NL, Canada (Atlantic Ocean)"
34,ACC134,1972-12-05,Boeing 707,EgyptAir,SU-AOW,6,6,Damaged beyond repair,En route (ENR),Training,"Cairo International Airport (CAI/HECA), Egypt","Cairo International Airport (CAI/HECA), Egypt",Beni Suef (Egypt)
35,ACC135,1972-12-08,Fokker F-27,Pakistan International Airlines - PIA,AP-AUS,26,26,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Gilgit Airport (GIL/OPGT), Pakistan","Rawalpindi (RWP), Pakistan",near Jalkot (Pakistan)
37,ACC137,1973-01-02,Boeing 707,Pacific Western Airlines,CF-PWZ,5,5,Destroyed,Approach (APR),Cargo,"Toronto International Airport, ON (YYZ/CYYZ), Canada","Edmonton International Airport, AB (YEG/CYEG), Canada","ca 3 km SE of Edmonton International Airport, AB (YEG) (Canada)"
38,ACC138,1973-01-21,Antonov AN-24,Aeroflot,CCCP-46276,39,39,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Kazan Airport, Russia","Perm Airport (PEE/USPP), Russia","near Petukhovo, Bolshesosnovsky district (Russia)"
39,ACC139,1973-01-29,Ilyushin IL-18,EgyptAir,SU-AOV,37,37,Damaged beyond repair,Approach (APR),International Scheduled Passenger,"Cairo International Airport (CAI/HECA), Egypt","Nicosia Airport (NIC/LCNC), Cyprus",ca 16 km NNE of Nicosia Airport (NIC) (Cyprus)
43,ACC143,1973-02-24,Ilyushin IL-18,Aeroflot,CCCP-75712,79,79,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Dushanbe Airport (DYU/UTDD), Tajikistan","Leninabad Airport (LBD/UTDL), Tajikistan",40 km (25 mls) from Ura-Tube (Tajikistan)
44,ACC144,1973-02-28,Yakovlev YAK-40,Aeroflot,CCCP-87602,32,32,Destroyed,Takeoff (TOF),Domestic Scheduled Passenger,"Semipalatinsk Airport (PLX/UASS), Kazakhstan","Karaganda Airport (KGF/UAKK), Kazakhstan",Semipalatinsk Airport (PLX) (Kazakhstan)
45,ACC145,1973-02-28,de Havilland Canada DHC-6,Merpati Nusantara Airlines,PK-NUC,13,13,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Nabire Airport (NBX/WABI), Indonesia","Enarotali Airport (EWI/WABT), Indonesia",45 km (28.1 mls) E of Nabire (Indonesia)
48,ACC148,1973-03-09,Antonov AN-2,Aeroflot,CCCP-01262,3,3,Damaged beyond repair,En route (ENR),Ferry/positioning,"Elushkino Airstrip, Russia","Kondinskoye Airport (USHK), Russia",57 km (35.6 mls) W of Kondinskoye (Russia)
51,ACC151,1973-04-10,Vickers Vanguard,Invicta International Airways,G-AXOP,108,145,Destroyed,Approach (APR),Int'l Non Scheduled Passenger,"Bristol Airport (BRS/EGGD), United Kingdom","Basel/Mulhouse Airport (BSL/LFSB), France",15 km (9.4 mls) S of Basel/Mulhouse Airport (BSL) (Switzerland)
53,ACC153,1973-05-18,Tupolev TU-104,Aeroflot,CCCP-42379,81,81,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Irkutsk Airport (IKT/UIII), Russia","Chita Airport (HTA/UIAA), Russia",97 km (60.6 mls) W of Chita (Russia)
